ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q01]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	StudioEventIndex	StudioEvent	StudioEventData	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Screentitle]Hit	AOI[selection]Hit	AOI[title]Hit	AOI[text]Hit	AOI[arrowleft]Hit	AOI[pagecount]Hit	AOI[rating]Hit	AOI[likes]Hit	AOI[comments]Hit	AOI[idea]Hit	AOI[fullscreen]Hit	AOI[arrowright]Hit	AOI[date]Hit	AOI[date 2]Hit	AOI[likes 2]Hit	AOI[arrowleft 2]Hit	AOI[arrowright 2]Hit	AOI[selection 2]Hit	AOI[comments 2]Hit	AOI[pagecount 2]Hit	AOI[rating 2]Hit	AOI[text 2]Hit	AOI[title 2]Hit	AOI[idea 2]Hit	AOI[date 3]Hit	AOI[likes 3]Hit	AOI[arrowleft 3]Hit	AOI[arrowright 3]Hit	AOI[selection 3]Hit	AOI[comments 3]Hit	AOI[pagecount 3]Hit	AOI[rating 3]Hit	AOI[text 3]Hit	AOI[title 3]Hit	AOI[idea 3]Hit	AOI[date 4]Hit	AOI[likes 4]Hit	AOI[arrowleft 4]Hit	AOI[arrowright 4]Hit	AOI[selection 4]Hit	AOI[comments 4]Hit	AOI[pagecount 4]Hit	AOI[rating 4]Hit	AOI[text 4]Hit	AOI[title 4]Hit	AOI[idea 4]Hit	AOI[reviews]Hit	AOI[reviews 2]Hit	AOI[reviews 3]Hit	AOI[reviews 4]Hit	AOI[Screentitle 3]Hit	AOI[selection 9]Hit	AOI[title 9]Hit	AOI[text 9]Hit	AOI[arrowleft 9]Hit	AOI[pagecount 9]Hit	AOI[rating 9]Hit	AOI[likes 9]Hit	AOI[comments 9]Hit	AOI[idea 9]Hit	AOI[fullscreen 3]Hit	AOI[arrowright 9]Hit	AOI[date 9]Hit	AOI[date 10]Hit	AOI[likes 10]Hit	AOI[arrowleft 10]Hit	AOI[arrowright 10]Hit	AOI[selection 10]Hit	AOI[comments 10]Hit	AOI[pagecount 10]Hit	AOI[rating 10]Hit	AOI[text 10]Hit	AOI[title 10]Hit	AOI[idea 10]Hit	AOI[date 11]Hit	AOI[likes 11]Hit	AOI[arrowleft 11]Hit	AOI[arrowright 11]Hit	AOI[selection 11]Hit	AOI[comments 11]Hit	AOI[pagecount 11]Hit	AOI[rating 11]Hit	AOI[text 11]Hit	AOI[title 11]Hit	AOI[idea 11]Hit	AOI[date 12]Hit	AOI[likes 12]Hit	AOI[arrowleft 12]Hit	AOI[arrowright 12]Hit	AOI[selection 12]Hit	AOI[comments 12]Hit	AOI[pagecount 12]Hit	AOI[rating 12]Hit	AOI[text 12]Hit	AOI[title 12]Hit	AOI[idea 12]Hit	AOI[reviews 9]Hit	AOI[reviews 10]Hit	AOI[reviews 11]Hit	AOI[reviews 12]Hit	AOI[Screentitle 8]Hit	AOI[selection 29]Hit	AOI[title 29]Hit	AOI[text 29]Hit	AOI[arrowleft 29]Hit	AOI[pagecount 29]Hit	AOI[rating 29]Hit	AOI[likes 29]Hit	AOI[comments 29]Hit	AOI[idea 29]Hit	AOI[fullscreen 8]Hit	AOI[arrowright 29]Hit	AOI[date 29]Hit	AOI[date 30]Hit	AOI[likes 30]Hit	AOI[arrowleft 30]Hit	AOI[arrowright 30]Hit	AOI[selection 30]Hit	AOI[comments 30]Hit	AOI[pagecount 30]Hit	AOI[rating 30]Hit	AOI[text 30]Hit	AOI[title 30]Hit	AOI[idea 30]Hit	AOI[date 31]Hit	AOI[likes 31]Hit	AOI[arrowleft 31]Hit	AOI[arrowright 31]Hit	AOI[selection 31]Hit	AOI[comments 31]Hit	AOI[pagecount 31]Hit	AOI[rating 31]Hit	AOI[text 31]Hit	AOI[title 31]Hit	AOI[idea 31]Hit	AOI[date 32]Hit	AOI[likes 32]Hit	AOI[arrowleft 32]Hit	AOI[arrowright 32]Hit	AOI[selection 32]Hit	AOI[comments 32]Hit	AOI[pagecount 32]Hit	AOI[rating 32]Hit	AOI[text 32]Hit	AOI[title 32]Hit	AOI[idea 32]Hit	AOI[reviews 29]Hit	AOI[reviews 30]Hit	AOI[reviews 31]Hit	AOI[reviews 32]Hit	AOI[Screentitle 4]Hit	AOI[selection 13]Hit	AOI[title 13]Hit	AOI[text 13]Hit	AOI[arrowleft 13]Hit	AOI[pagecount 13]Hit	AOI[rating 13]Hit	AOI[likes 13]Hit	AOI[comments 13]Hit	AOI[idea 13]Hit	AOI[fullscreen 4]Hit	AOI[arrowright 13]Hit	AOI[date 13]Hit	AOI[date 14]Hit	AOI[likes 14]Hit	AOI[arrowleft 14]Hit	AOI[arrowright 14]Hit	AOI[selection 14]Hit	AOI[comments 14]Hit	AOI[pagecount 14]Hit	AOI[rating 14]Hit	AOI[text 14]Hit	AOI[title 14]Hit	AOI[idea 14]Hit	AOI[date 15]Hit	AOI[likes 15]Hit	AOI[arrowleft 15]Hit	AOI[arrowright 15]Hit	AOI[selection 15]Hit	AOI[comments 15]Hit	AOI[pagecount 15]Hit	AOI[rating 15]Hit	AOI[text 15]Hit	AOI[title 15]Hit	AOI[idea 15]Hit	AOI[date 16]Hit	AOI[likes 16]Hit	AOI[arrowleft 16]Hit	AOI[arrowright 16]Hit	AOI[selection 16]Hit	AOI[comments 16]Hit	AOI[pagecount 16]Hit	AOI[rating 16]Hit	AOI[text 16]Hit	AOI[title 16]Hit	AOI[idea 16]Hit	AOI[reviews 13]Hit	AOI[reviews 14]Hit	AOI[reviews 15]Hit	AOI[reviews 16]Hit	AOI[Screentitle 5]Hit	AOI[selection 17]Hit	AOI[title 17]Hit	AOI[text 17]Hit	AOI[arrowleft 17]Hit	AOI[pagecount 17]Hit	AOI[rating 17]Hit	AOI[likes 17]Hit	AOI[comments 17]Hit	AOI[idea 17]Hit	AOI[fullscreen 5]Hit	AOI[arrowright 17]Hit	AOI[date 17]Hit	AOI[date 18]Hit	AOI[likes 18]Hit	AOI[arrowleft 18]Hit	AOI[arrowright 18]Hit	AOI[selection 18]Hit	AOI[comments 18]Hit	AOI[pagecount 18]Hit	AOI[rating 18]Hit	AOI[text 18]Hit	AOI[title 18]Hit	AOI[idea 18]Hit	AOI[date 19]Hit	AOI[likes 19]Hit	AOI[arrowleft 19]Hit	AOI[arrowright 19]Hit	AOI[selection 19]Hit	AOI[comments 19]Hit	AOI[pagecount 19]Hit	AOI[rating 19]Hit	AOI[text 19]Hit	AOI[title 19]Hit	AOI[idea 19]Hit	AOI[date 20]Hit	AOI[likes 20]Hit	AOI[arrowleft 20]Hit	AOI[arrowright 20]Hit	AOI[selection 20]Hit	AOI[comments 20]Hit	AOI[pagecount 20]Hit	AOI[rating 20]Hit	AOI[text 20]Hit	AOI[title 20]Hit	AOI[idea 20]Hit	AOI[reviews 17]Hit	AOI[reviews 18]Hit	AOI[reviews 19]Hit	AOI[reviews 20]Hit	AOI[Screentitle 2]Hit	AOI[selection 5]Hit	AOI[title 5]Hit	AOI[text 5]Hit	AOI[arrowleft 5]Hit	AOI[pagecount 5]Hit	AOI[rating 5]Hit	AOI[likes 5]Hit	AOI[comments 5]Hit	AOI[idea 5]Hit	AOI[fullscreen 2]Hit	AOI[arrowright 5]Hit	AOI[date 5]Hit	AOI[date 6]Hit	AOI[likes 6]Hit	AOI[arrowleft 6]Hit	AOI[arrowright 6]Hit	AOI[selection 6]Hit	AOI[comments 6]Hit	AOI[pagecount 6]Hit	AOI[rating 6]Hit	AOI[text 6]Hit	AOI[title 6]Hit	AOI[idea 6]Hit	AOI[date 7]Hit	AOI[likes 7]Hit	AOI[arrowleft 7]Hit	AOI[arrowright 7]Hit	AOI[selection 7]Hit	AOI[comments 7]Hit	AOI[pagecount 7]Hit	AOI[rating 7]Hit	AOI[text 7]Hit	AOI[title 7]Hit	AOI[idea 7]Hit	AOI[date 8]Hit	AOI[likes 8]Hit	AOI[arrowleft 8]Hit	AOI[arrowright 8]Hit	AOI[selection 8]Hit	AOI[comments 8]Hit	AOI[pagecount 8]Hit	AOI[rating 8]Hit	AOI[text 8]Hit	AOI[title 8]Hit	AOI[idea 8]Hit	AOI[reviews 5]Hit	AOI[reviews 6]Hit	AOI[reviews 7]Hit	AOI[reviews 8]Hit	AOI[Screentitle 6]Hit	AOI[selection 21]Hit	AOI[title 21]Hit	AOI[text 21]Hit	AOI[arrowleft 21]Hit	AOI[pagecount 21]Hit	AOI[rating 21]Hit	AOI[likes 21]Hit	AOI[comments 21]Hit	AOI[idea 21]Hit	AOI[fullscreen 6]Hit	AOI[arrowright 21]Hit	AOI[date 21]Hit	AOI[date 22]Hit	AOI[likes 22]Hit	AOI[arrowleft 22]Hit	AOI[arrowright 22]Hit	AOI[selection 22]Hit	AOI[comments 22]Hit	AOI[pagecount 22]Hit	AOI[rating 22]Hit	AOI[text 22]Hit	AOI[title 22]Hit	AOI[idea 22]Hit	AOI[date 23]Hit	AOI[likes 23]Hit	AOI[arrowleft 23]Hit	AOI[arrowright 23]Hit	AOI[selection 23]Hit	AOI[comments 23]Hit	AOI[pagecount 23]Hit	AOI[rating 23]Hit	AOI[text 23]Hit	AOI[title 23]Hit	AOI[idea 23]Hit	AOI[date 24]Hit	AOI[likes 24]Hit	AOI[arrowleft 24]Hit	AOI[arrowright 24]Hit	AOI[selection 24]Hit	AOI[comments 24]Hit	AOI[pagecount 24]Hit	AOI[rating 24]Hit	AOI[text 24]Hit	AOI[title 24]Hit	AOI[idea 24]Hit	AOI[reviews 21]Hit	AOI[reviews 22]Hit	AOI[reviews 23]Hit	AOI[reviews 24]Hit	AOI[Screentitle 7]Hit	AOI[selection 25]Hit	AOI[title 25]Hit	AOI[text 25]Hit	AOI[arrowleft 25]Hit	AOI[pagecount 25]Hit	AOI[rating 25]Hit	AOI[likes 25]Hit	AOI[comments 25]Hit	AOI[idea 25]Hit	AOI[fullscreen 7]Hit	AOI[arrowright 25]Hit	AOI[date 25]Hit	AOI[date 26]Hit	AOI[likes 26]Hit	AOI[arrowleft 26]Hit	AOI[arrowright 26]Hit	AOI[selection 26]Hit	AOI[comments 26]Hit	AOI[pagecount 26]Hit	AOI[rating 26]Hit	AOI[text 26]Hit	AOI[title 26]Hit	AOI[idea 26]Hit	AOI[date 27]Hit	AOI[likes 27]Hit	AOI[arrowleft 27]Hit	AOI[arrowright 27]Hit	AOI[selection 27]Hit	AOI[comments 27]Hit	AOI[pagecount 27]Hit	AOI[rating 27]Hit	AOI[text 27]Hit	AOI[title 27]Hit	AOI[idea 27]Hit	AOI[date 28]Hit	AOI[likes 28]Hit	AOI[arrowleft 28]Hit	AOI[arrowright 28]Hit	AOI[selection 28]Hit	AOI[comments 28]Hit	AOI[pagecount 28]Hit	AOI[rating 28]Hit	AOI[text 28]Hit	AOI[title 28]Hit	AOI[idea 28]Hit	AOI[reviews 25]Hit	AOI[reviews 26]Hit	AOI[reviews 27]Hit	AOI[reviews 28]Hit	GazePointIndex	PupilLeft	PupilRight	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	752126	13:52:08.423	1511873640152671				1		Fixation	690	973	327																																																																																																																																																																																																																																																																																																																0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			1	2,63	2,71	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	752549	13:52:08.846	1511873640575918				2		Fixation	140	744	312	5,49	176,24																																																																																																																																																																																																																																																																																																														0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			128	2,29	2,36	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	752709	13:52:09.006	1511873640735912				3		Fixation	70	690	321	1,30	189,49	13,25																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			176	2,30	2,39	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	752829	13:52:09.126	1511873640855884				4		Fixation	127	332	214	8,68	163,31	333,82																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			212	2,36	2,49	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	752979	13:52:09.276	1511873641005864				5		Fixation	313	263	206	1,56	173,37	10,06																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			257	2,38	2,54	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	753319	13:52:09.616	1511873641345810				6		Fixation	340	355	212	2,08	356,26	182,89																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			359	2,37	2,48	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	753683	13:52:09.979	1511873641709095				7		Fixation	107	439	212	1,92	0,00	3,74																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			468	2,43	2,53	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	753809	13:52:10.106	1511873641835740				8		Fixation	150	500	217	1,42	355,30	355,30																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			506	2,46	2,54	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	753973	13:52:10.269	1511873641999052				9		Fixation	160	540	218	0,93	358,56	3,26																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			555	2,46	2,56	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	754173	13:52:10.469	1511873642199025				10		Fixation	110	271	279	6,35	192,82	194,25																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			615	2,50	2,56	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	754296	13:52:10.593	1511873642322340				11		Fixation	220	245	297	0,72	214,78	21,96																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			652	2,53	2,63	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	754536	13:52:10.833	1511873642562312				12		Fixation	117	293	305	1,09	350,51	135,73																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			724	2,68	2,77	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	754686	13:52:10.983	1511873642712279				13		Fixation	150	372	303	1,80	1,45	10,95																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			769	2,79	2,78	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	754856	13:52:11.152	1511873642882260				14		Fixation	127	425	299	1,22	4,33	2,88																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			820	2,76	2,79	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	754996	13:52:11.292	1511873643022236				15		Fixation	133	395	309	0,73	198,49	194,16																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			862	2,71	2,80	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	755152	13:52:11.449	1511873643178881				16		Fixation	267	465	306	1,62	2,46	163,97																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			909	2,68	2,74	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	755442	13:52:11.739	1511873643468827				17		Fixation	253	524	315	1,39	351,30	348,84																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			996	2,59	2,67	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	755709	13:52:12.006	1511873643735475				18		Fixation	233	499	319	0,59	189,12	197,82																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			1076	2,58	2,62	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant11	P11	Alert	Alert	SQ11_Rec 01	28-11-2017	1497207	1920 x 1080	SQ11	I-VT filter	http://127.0.0.1:32774/08.27.25/screen6.html (CRC)	2	2	1920	1080	755962	13:52:12.259	1511873643988761				19		Fixation	290	536	318	0,87	1,55	172,43																																																																																																																																																																																																																																																																																																													0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			1152	2,57	2,59	
